Dato,Forbruger- pris,Produkt- pris,CO2-afgift,Energiafgift,MOMS
2022-04-02,16.19,8.27,0.39,4.29,3.24
2022-04-01,16.29,8.35,0.39,4.29,3.26
2022-03-31,15.99,8.11,0.39,4.29,3.2
2022-03-30,16.39,8.43,0.39,4.29,3.28
2022-03-29,16.69,8.67,0.39,4.29,3.34
2022-03-25,16.49,8.51,0.39,4.29,3.3
2022-03-24,16.29,8.35,0.39,4.29,3.26
2022-03-23,16.39,8.43,0.39,4.29,3.28
2022-03-19,15.89,8.03,0.39,4.29,3.18
2022-03-18,15.49,7.71,0.39,4.29,3.1
2022-03-17,15.59,7.79,0.39,4.29,3.12
2022-03-16,15.89,8.03,0.39,4.29,3.18
2022-03-15,16.19,8.27,0.39,4.29,3.24
2022-03-12,16.09,8.19,0.39,4.29,3.22
2022-03-11,16.89,8.83,0.39,4.29,3.38
2022-03-10,17.39,9.23,0.39,4.29,3.48
2022-03-09,17.09,8.99,0.39,4.29,3.42
2022-03-08,16.49,8.51,0.39,4.29,3.3
2022-03-05,16.09,8.19,0.39,4.29,3.22
2022-03-04,15.79,7.95,0.39,4.29,3.16
2022-03-03,15.49,7.71,0.39,4.29,3.1
2022-03-02,15.19,7.47,0.39,4.29,3.04
2022-03-01,15.09,7.39,0.39,4.29,3.02
2022-02-26,15.19,7.47,0.39,4.29,3.04
2022-02-25,14.89,7.23,0.39,4.29,2.98
2022-02-22,14.79,7.15,0.39,4.29,2.96
2022-02-17,14.89,7.23,0.39,4.29,2.98
2022-02-16,14.99,7.31,0.39,4.29,3
2022-02-15,14.89,7.23,0.39,4.29,2.98
2022-02-11,14.79,7.15,0.39,4.29,2.96
2022-02-08,14.69,7.07,0.39,4.29,2.94
2022-02-01,14.59,6.99,0.39,4.29,2.92
2022-01-28,14.49,6.91,0.39,4.29,2.9
2022-01-27,14.39,6.83,0.39,4.29,2.88
2022-01-26,14.29,6.75,0.39,4.29,2.86
2022-01-22,14.39,6.83,0.39,4.29,2.88
2022-01-19,14.29,6.75,0.39,4.29,2.86
2022-01-14,14.19,6.67,0.39,4.29,2.84
2022-01-08,14.09,6.59,0.39,4.29,2.82
2022-01-04,13.99,6.51,0.39,4.29,2.8
2021-12-31,14.09,6.61,0.39,4.27,2.82
2021-12-25,13.89,6.45,0.39,4.27,2.78
2021-12-23,13.79,6.37,0.39,4.27,2.76
2021-12-22,13.69,6.29,0.39,4.27,2.74
2021-12-17,13.79,6.37,0.39,4.27,2.76
2021-12-11,13.89,6.45,0.39,4.27,2.78
2021-12-09,13.79,6.37,0.39,4.27,2.76
2021-12-02,13.49,6.13,0.39,4.27,2.7
2021-12-01,13.79,6.37,0.39,4.27,2.76
2021-11-30,13.69,6.29,0.39,4.27,2.74
2021-11-23,14.19,6.69,0.39,4.27,2.84
2021-11-20,14.29,6.77,0.39,4.27,2.86
2021-11-19,14.59,7.01,0.39,4.27,2.92
2021-11-17,14.69,7.09,0.39,4.27,2.94
2021-11-16,14.59,7.01,0.39,4.27,2.92
2021-11-11,14.69,7.09,0.39,4.27,2.94
2021-11-06,14.59,7.01,0.39,4.27,2.92
2021-11-03,14.49,6.93,0.39,4.27,2.9
2021-11-02,14.39,6.85,0.39,4.27,2.88
2021-10-29,14.29,6.77,0.39,4.27,2.86
2021-10-27,14.39,6.85,0.39,4.27,2.88
2021-10-26,14.29,6.77,0.39,4.27,2.86
2021-10-22,14.19,6.69,0.39,4.27,2.84
2021-10-16,14.09,6.61,0.39,4.27,2.82
2021-10-15,14.19,6.69,0.39,4.27,2.84
2021-10-14,13.99,6.53,0.39,4.27,2.8
2021-10-12,14.09,6.61,0.39,4.27,2.82
2021-10-09,13.89,6.45,0.39,4.27,2.78
2021-10-07,13.99,6.53,0.39,4.27,2.8
2021-10-06,13.89,6.45,0.39,4.27,2.78
2021-10-02,13.79,6.37,0.39,4.27,2.76
2021-10-01,13.69,6.29,0.39,4.27,2.74
2021-09-30,13.59,6.21,0.39,4.27,2.72
2021-09-28,13.49,6.13,0.39,4.27,2.7
2021-09-24,13.39,6.05,0.39,4.27,2.68
2021-09-23,13.29,5.97,0.39,4.27,2.66
2021-09-04,13.39,6.05,0.39,4.27,2.68
2021-09-03,13.29,5.97,0.39,4.27,2.66
2021-09-01,13.39,6.05,0.39,4.27,2.68
2021-08-27,13.29,5.97,0.39,4.27,2.66
2021-08-26,13.19,5.89,0.39,4.27,2.64
2021-08-25,13.09,5.81,0.39,4.27,2.62
2021-08-24,12.99,5.73,0.39,4.27,2.6
2021-08-21,13.09,5.81,0.39,4.27,2.62
2021-08-18,13.19,5.89,0.39,4.27,2.64
2021-08-14,13.29,5.97,0.39,4.27,2.66
2021-08-12,13.39,6.05,0.39,4.27,2.68
2021-08-11,13.29,5.97,0.39,4.27,2.66
2021-08-10,13.39,6.05,0.39,4.27,2.68
2021-08-07,13.29,5.97,0.39,4.27,2.66
2021-08-06,13.19,5.89,0.39,4.27,2.64
2021-07-27,13.29,5.97,0.39,4.27,2.66
2021-07-24,13.19,5.89,0.39,4.27,2.64
2021-07-23,13.09,5.81,0.39,4.27,2.62
2021-07-22,12.99,5.73,0.39,4.27,2.6
2021-07-21,13.09,5.81,0.39,4.27,2.62
2021-07-16,13.29,5.97,0.39,4.27,2.66
2021-07-10,13.19,5.89,0.39,4.27,2.64
2021-07-09,13.09,5.81,0.39,4.27,2.62
2021-07-03,13.19,5.89,0.39,4.27,2.64
2021-06-26,13.09,5.81,0.39,4.27,2.62
2021-06-24,12.99,5.73,0.39,4.27,2.6
2021-06-12,12.89,5.65,0.39,4.27,2.58
2021-06-01,12.79,5.57,0.39,4.27,2.56
2021-05-26,12.69,5.49,0.39,4.27,2.54
2021-05-21,12.59,5.41,0.39,4.27,2.52
2021-05-08,12.69,5.49,0.39,4.27,2.54
2021-05-06,12.79,5.57,0.39,4.27,2.56
2021-04-30,12.59,5.41,0.39,4.27,2.52
2021-04-28,12.49,5.33,0.39,4.27,2.5
2021-04-15,12.59,5.41,0.39,4.27,2.52
2021-03-26,12.49,5.33,0.39,4.27,2.5
2021-03-25,12.39,5.25,0.39,4.27,2.48
2021-03-24,12.49,5.33,0.39,4.27,2.5
2021-03-23,12.39,5.25,0.39,4.27,2.48
2021-03-19,12.49,5.33,0.39,4.27,2.5
2021-03-13,12.59,5.41,0.39,4.27,2.52
2021-03-09,12.49,5.33,0.39,4.27,2.5
2021-03-05,12.39,5.25,0.39,4.27,2.48
2021-03-03,12.29,5.17,0.39,4.27,2.46
2021-02-26,12.19,5.09,0.39,4.27,2.44
2021-02-20,12.09,5.01,0.39,4.27,2.42
2021-02-17,11.99,4.93,0.39,4.27,2.4
2021-02-10,11.89,4.85,0.39,4.27,2.38
2021-02-09,11.99,4.93,0.39,4.27,2.4
2021-02-04,11.89,4.85,0.39,4.27,2.38
2021-02-02,11.79,4.77,0.39,4.27,2.36
2021-01-22,11.69,4.69,0.39,4.27,2.34
2021-01-12,11.69,4.69,0.39,4.27,2.34
2021-01-09,11.59,4.61,0.39,4.27,2.32
2021-01-07,11.49,4.53,0.39,4.27,2.3
2021-01-05,11.39,4.45,0.39,4.27,2.28
2021-01-01,11.34,4.41,0.39,4.27,2.27
2020-12-29,11.29,4.31,0.4,4.32,2.261
2020-12-24,11.39,4.39,0.4,4.32,2.281
2020-12-23,11.29,4.31,0.4,4.32,2.261
2020-12-22,11.39,4.39,0.4,4.32,2.281
2020-12-16,11.29,4.31,0.4,4.32,2.261
2020-12-12,11.39,4.39,0.4,4.32,2.281
2020-12-11,11.19,4.23,0.4,4.32,2.241
2020-12-05,11.29,4.31,0.4,4.32,2.261
2020-12-03,11.19,4.23,0.4,4.32,2.241
2020-12-02,11.29,4.31,0.4,4.32,2.261
2020-11-26,11.19,4.23,0.4,4.32,2.241
2020-11-25,11.09,4.15,0.4,4.32,2.221
2020-11-21,10.99,4.07,0.4,4.32,2.201
2020-11-20,11.09,4.15,0.4,4.32,2.221
2020-11-19,10.99,4.07,0.4,4.32,2.201
2020-11-18,11.09,4.15,0.4,4.32,2.221
2020-11-17,10.99,4.07,0.4,4.32,2.201
2020-11-12,11.09,4.15,0.4,4.32,2.221
2020-11-11,10.99,4.07,0.4,4.32,2.201
2020-11-01,10.89,3.99,0.4,4.32,2.181
2020-10-31,10.89,3.99,0.4,4.32,2.181
2020-10-30,10.99,4.07,0.4,4.32,2.201
2020-10-28,11.09,4.15,0.4,4.32,2.221
2020-10-22,11.19,4.23,0.4,4.32,2.241
2020-10-17,11.29,4.31,0.4,4.32,2.261
2020-10-14,11.39,4.39,0.4,4.32,2.281
2020-10-07,11.49,4.47,0.4,4.32,2.301
2020-10-03,11.39,4.39,0.4,4.32,2.281
2020-09-29,11.49,4.47,0.4,4.32,2.301
2020-09-23,11.39,4.39,0.4,4.32,2.281
2020-09-19,11.59,4.55,0.4,4.32,2.321
2020-09-18,11.49,4.47,0.4,4.32,2.301
2020-09-05,11.39,4.39,0.4,4.32,2.281
2020-08-26,11.49,4.47,0.4,4.32,2.301
2020-08-25,11.39,4.39,0.4,4.32,2.281
2020-08-19,11.49,4.47,0.4,4.32,2.301
2020-08-07,11.39,4.39,0.4,4.32,2.281
2020-07-29,11.79,4.71,0.4,4.32,2.361
2020-07-23,11.99,4.87,0.4,4.32,2.401
2020-07-21,11.79,4.71,0.4,4.32,2.361
2020-07-18,11.89,4.79,0.4,4.32,2.381
2020-07-15,11.99,4.87,0.4,4.32,2.401
2020-07-10,12.09,4.95,0.4,4.32,2.421
