Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
,,,Tidsinterval: 60min.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Målested,10133322,,"Jagtvej 163, 2100 Kbh. Ø",,,,,,,,,,,,,,,,,,
Bestyrer,101,,København,,,,,,,,,,,,,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,01.01-10.01.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,53,,,,,,,01,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Tid\Dato,28/12,29/12,30/12,*31/12,*01/01,02/01,03/01,04/01,05/01,06/01,07/01,08/01,09/01,10/01,talt,,,,,,
00:00 - 01:00,,,,,243,117,189,95,84,101,103,102,211,235,97,,,,,,
01:00 - 02:00,,,,,501,65,94,61,55,52,54,70,155,157,58,,,,,,
02:00 - 03:00,,,,,491,37,81,29,34,48,41,64,134,119,43,,,,,,
03:00 - 04:00,,,,,382,28,56,32,32,39,53,57,89,78,43,,,,,,
04:00 - 05:00,,,,,282,30,42,57,47,52,52,42,64,61,50,,,,,,
05:00 - 06:00,,,,,225,47,39,179,192,174,188,192,54,41,185,,,,,,
06:00 - 07:00,,,,,208,111,92,580,563,568,522,560,148,91,559,,,,,,
07:00 - 08:00,,,,,155,158,152,976,938,961,961,922,193,145,952,,,,,,
08:00 - 09:00,,,,,123,193,195,1,1,1,1,1,261,209,1,,,,,,
09:00 - 10:00,,,,,155,398,454,928,1,967,971,988,542,454,976,,,,,,
10:00 - 11:00,,,,,203,594,716,919,949,896,952,915,771,675,926,,,,,,
11:00 - 12:00,,,,,391,810,942,921,1,933,988,1,1,948,981,,,,,,
12:00 - 13:00,,,,,573,1,1,1,1,1,1,1,1,1,1,,,,,,
13:00 - 14:00,,,,,677,1,1,1,1,1,1,1,1,1,1,,,,,,
14:00 - 15:00,,,,,766,1,1,1,1,1,1,1,1,1,1,,,,,,
15:00 - 16:00,,,,,871,1,1,1,1,1,1,1,1,1,1,,,,,,
16:00 - 17:00,,,,,761,1,1,1,1,1,1,1,1,1,1,,,,,,
17:00 - 18:00,,,,,617,864,871,1,1,1,1,1,1,920,1,,,,,,
18:00 - 19:00,,,,,466,608,633,755,762,734,804,836,710,711,778,,,,,,
19:00 - 20:00,,,,,431,502,526,535,584,503,607,561,526,545,558,,,,,,
20:00 - 21:00,,,,,346,454,497,470,519,473,441,426,477,530,466,,,,,,
21:00 - 22:00,,,,,366,403,391,373,475,416,436,448,441,451,430,,,,,,
22:00 - 23:00,,,,,281,336,317,278,319,307,365,372,449,350,328,,,,,,
23:00 - 24:00,,,,,186,293,177,194,200,192,187,310,348,166,217,,,,,,
I alt,,,,,10,12,12,15,16,15,16,16,14,12,16,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
,,,Tidsinterval: 60min.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Målested,10133322,,"Jagtvej 163, 2100 Kbh. Ø",,,,,,,,,,,,,,,,,,
Bestyrer,101,,København,,,,,,,,,,,,,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,11.01-24.01.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,02,,,,,,,03,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Tid\Dato,11/01,12/01,13/01,14/01,15/01,16/01,17/01,18/01,19/01,20/01,21/01,22/01,23/01,24/01,talt,,,,,,
00:00 - 01:00,95,100,100,111,105,226,242,83,80,111,101,110,228,266,100,,,,,,
01:00 - 02:00,44,59,55,76,66,181,175,55,47,55,50,63,196,187,57,,,,,,
02:00 - 03:00,34,38,43,41,39,124,124,32,50,51,33,55,125,139,42,,,,,,
03:00 - 04:00,24,37,47,47,41,82,91,29,28,48,35,46,112,86,38,,,,,,
04:00 - 05:00,38,48,51,43,55,67,75,49,51,41,53,54,97,84,48,,,,,,
05:00 - 06:00,199,198,199,181,195,99,73,181,172,177,186,170,83,62,186,,,,,,
06:00 - 07:00,578,563,584,573,544,135,105,565,572,582,537,567,153,116,567,,,,,,
07:00 - 08:00,1,954,1,1,981,204,146,985,1,1,1,1,217,146,1,,,,,,
08:00 - 09:00,1,1,1,1,1,375,242,1,1,1,1,1,314,277,1,,,,,,
09:00 - 10:00,967,975,1,1,1,615,473,1,966,1,1,1,556,462,1,,,,,,
10:00 - 11:00,974,994,970,1,1,936,741,1,944,1,1,1,786,810,1,,,,,,
11:00 - 12:00,1,960,979,1,1,1,986,1,1,1,1,1,991,992,1,,,,,,
12:00 - 13:00,981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
13:00 - 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
14:00 - 15:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
15:00 - 16:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
16:00 - 17:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
17:00 - 18:00,1,1,1,1,1,980,1,1,1,1,1,1,1,1,1,,,,,,
18:00 - 19:00,771,825,812,819,896,746,712,749,837,906,841,954,818,784,841,,,,,,
19:00 - 20:00,536,629,614,675,611,513,613,585,578,648,680,638,553,621,619,,,,,,
20:00 - 21:00,455,529,527,528,491,479,640,467,519,569,527,474,473,564,509,,,,,,
21:00 - 22:00,391,487,444,473,467,448,423,398,415,510,465,458,447,511,451,,,,,,
22:00 - 23:00,325,327,348,354,420,419,347,291,367,399,419,398,448,322,365,,,,,,
23:00 - 24:00,171,218,214,220,311,321,214,159,202,216,247,314,408,177,227,,,,,,
I alt,16,16,17,17,17,14,14,16,16,17,17,18,14,14,17,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
,,,Tidsinterval: 60min.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Målested,10133322,,"Jagtvej 163, 2100 Kbh. Ø",,,,,,,,,,,,,,,,,,
Bestyrer,101,,København,,,,,,,,,,,,,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,25.01-07.02.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,04,,,,,,,05,,,,,,,Hverdag,,,,,,
Ugedag,Man,Tir,Ons,Tor,Fre,Lør,Søn,Man,Tir,Ons,Tor,Fre,Lør,Søn,gns.,,,,,,
Tid\Dato,25/01,26/01,27/01,28/01,29/01,30/01,31/01,01/02,02/02,03/02,04/02,05/02,06/02,07/02,talt,,,,,,
00:00 - 01:00,89,80,96,101,117,280,266,112,91,107,118,156,289,280,107,,,,,,
01:00 - 02:00,51,53,46,63,74,184,202,56,48,64,62,79,217,209,60,,,,,,
02:00 - 03:00,35,53,44,46,59,137,141,50,50,47,60,47,156,163,49,,,,,,
03:00 - 04:00,38,53,35,50,45,121,115,39,37,47,50,53,132,134,45,,,,,,
04:00 - 05:00,48,47,48,46,43,96,83,54,56,49,58,50,101,86,50,,,,,,
05:00 - 06:00,191,190,200,196,196,90,63,197,195,198,205,196,65,61,196,,,,,,
06:00 - 07:00,560,584,535,554,618,126,113,630,548,628,546,579,135,123,578,,,,,,
07:00 - 08:00,1,1,1,976,947,204,169,1,1,998,1,990,206,149,1,,,,,,
08:00 - 09:00,1,1,1,1,1,340,289,1,1,1,1,1,340,210,1,,,,,,
09:00 - 10:00,1,1,1,1,1,626,523,1,1,983,1,1,628,478,1,,,,,,
10:00 - 11:00,961,1,1,1,1,914,845,1,1,1,1,1,903,814,1,,,,,,
11:00 - 12:00,1,973,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
12:00 - 13:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
13:00 - 14:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
14:00 - 15:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
15:00 - 16:00,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,,,,,,
16:00 - 17:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
17:00 - 18:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
18:00 - 19:00,800,877,780,874,957,832,535,898,863,946,938,983,882,801,892,,,,,,
19:00 - 20:00,538,647,552,682,644,573,623,563,616,636,692,678,570,654,625,,,,,,
20:00 - 21:00,469,546,599,561,484,487,796,549,507,580,602,502,513,591,540,,,,,,
21:00 - 22:00,411,453,521,514,391,480,657,435,466,517,539,533,505,504,478,,,,,,
22:00 - 23:00,287,355,375,368,509,475,418,307,354,364,455,426,481,383,380,,,,,,
23:00 - 24:00,161,212,222,262,431,363,195,185,215,226,243,350,403,187,251,,,,,,
I alt,16,17,17,18,18,15,15,17,17,18,18,18,15,14,18,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Mastra,,,TÆLLING : UGEOVERSIGT,,,,,,,,,,,,Udskr.,05.04.2022 12:06,,,,,
,,,Tidsinterval: 60min.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Målested,10133322,,"Jagtvej 163, 2100 Kbh. Ø",,,,,,,,,,,,,,,,,,
Bestyrer,101,,København,,,,,,,,,,,,,,,,,,
Vej,1013332-0,,Jagtvej,,,,,,,,,,,,,,,,,,
Lokalitet,2/280,,Jagtvej ud for nr. 163,,,,,,,,,,,,,,,,,,
RetningSpor,T,,Samlet trafik,,,,,,,,,,,,,,,,,,
Køretøjsart,MOTORKTJ,,Motorkøretøjer,,,,,,,,,,,,,,,,,,
Periode,08.02-21.02.2021,,(660-spln),,,,,,,,,,,,,,,,,,
Kommentar,,,AT33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,* markerede dage er helligdage,,,,,,,,,,,,,,,,,,
Ugenr.,06,,,,,,,07,,,,,,,Hverdag,,,,,,
